qid,term,topic,subtopic,difficulty,questiontype,parentid,orderinparent,questiontext,optiona,optionb,optionc,optiond,correctanswer,hint,detailedsolution,imagelocation,tags,enginetypesim,modesim,filepathsim,filenamesim
SCI-P7-T1-00001,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,What is a skeleton?,A framework of bones,A group of muscles,A layer of skin,A system of nerves,Option_A,It is the structure that holds the body up.,A skeleton is defined as the supportive framework of bones in an organism.,null,"[""P7"",""Science"",""Skeleton""]",,,,
SCI-P7-T1-00002,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,How many main types of skeletons are found in animals?,Two,Three,Four,Five,Option_B,"Think about animals with bones inside, shells outside, or fluid bodies.","There are three types: Exo-skeleton, Endo-skeleton, and Hydrostatic skeleton.",,"[""P7"",""Science"",""Types""]",,,,
SCI-P7-T1-00003,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,In which type of skeleton are hard tissues found outside the flesh?,Endo-skeleton,Exo-skeleton,Hydrostatic skeleton,None,Option_B,The prefix 'Exo' means outside.,"Exo-skeletons are found on the outside of the body, mostly in insects.",,"[""P7"",""Science"",""Exoskeleton""]",,,,
SCI-P7-T1-00004,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Which of these animals is an example of an organism with an exo-skeleton?,Cow,Frog,Cockroach,Dog,Option_C,It is an insect with a hard outer covering.,Insects like cockroaches and grasshoppers have their skeletons on the outside.,,"[""P7"",""Science"",""Insects""]",,,,
SCI-P7-T1-00005,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,What defines a hydrostatic skeleton?,Body filled with bones,Body filled with liquid under pressure,Body covered in hair,Body filled with air,Option_B,'Hydro' refers to water or liquid.,A hydrostatic skeleton is where the body is filled with liquid under pressure to give support.,,"[""P7"",""Science"",""Hydrostatic""]",,,,
SCI-P7-T1-00006,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Which of the following animals has a hydrostatic skeleton?,Grasshopper,Worm,Bird,Lion,Option_B,Think of soft-bodied animals that crawl.,"Worms, slugs, and snails (soft parts) use liquid pressure for support.",,"[""P7"",""Science"",""Worms""]",,,,
SCI-P7-T1-00007,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Where is an endo-skeleton found in an animal?,Outside the flesh,On the skin,Inside the flesh,In the hair,Option_C,The prefix 'Endo' means inside.,"Endo-skeletons are internal frameworks, like in humans and other vertebrates.",,"[""P7"",""Science"",""Endoskeleton""]",,,,
SCI-P7-T1-00008,T1,Musculo-Skeletal System,types_of_skeleton,H,MCQ,null,null,What is the scientific term for the periodic shedding of an exo-skeleton?,Ossification,Digestion,Ecdysis,Respiration,Option_C,Another word for this is 'moulting'.,Ecdysis is the process where insects shed their hard outer layer to grow.,,"[""P7"",""Science"",""Ecdysis""]",,,,
SCI-P7-T1-00009,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Why must insects undergo moulting/ecdysis?,To change their color,To allow the body to grow,To help them fly,To hide from enemies,Option_B,An exo-skeleton is rigid and cannot expand.,"Because the exo-skeleton is hard and fixed, it must be shed for the animal to increase in size.",,"[""P7"",""Science"",""Moulting""]",,,,
SCI-P7-T1-00010,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Which group of animals is known for having endo-skeletons?,Arthropods,Vertebrates,Molluscs,Insects,Option_B,These are animals with backbones.,"All vertebrates (mammals, birds, fish, reptiles, amphibians) have internal bones.",,"[""P7"",""Science"",""Vertebrates""]",,,,
SCI-P7-T1-00011,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Which of these is NOT an example of an insect with an exo-skeleton?,House fly,Cricket,Slug,Grasshopper,Option_C,One of these is a soft-bodied mollusc.,"A slug has a hydrostatic skeleton, while the others are insects with hard covers.",,"[""P7"",""Science"",""Exoskeleton""]",,,,
SCI-P7-T1-00012,T1,Musculo-Skeletal System,types_of_skeleton,M,MCQ,null,null,Which function of the skeleton involves the bone marrow?,Giving shape,Protecting organs,Making blood cells,Allowing movement,Option_C,The marrow is the soft tissue inside bones.,The skeleton contributes to the formation of red and white blood cells in the bone marrow.,,"[""P7"",""Science"",""Functions""]",,,,
