Type,Engine,Topic,Subtopic,Question_Text,Expected_Answer
Visual Question,SET_CLASSIFIER,Finite vs. Infinite Sets,Quest 1-001: Set Types (Part 2),"Set of Whole Numbers {0, 1, 2, ...}",infinite
Visual Question,SET_CLASSIFIER,Finite vs. Infinite Sets,Quest 1-001: Set Types (Part 3),Set of Cows in this Kraal.,finite
Visual Question,SET_CLASSIFIER,Finite vs. Infinite Sets,Quest 1-001: Set Types (Part 4),"Set of Multiples of 7 {7, 14, 21, ...}",infinite
Visual Question,SET_CLASSIFIER,Set Types,Quest 1-003: Abstract Sets (Part 2),Set of Points on a Line.,infinite
Visual Question,SET_CLASSIFIER,Set Types,Quest 1-003: Abstract Sets (Part 3),Set of Primary Schools in Uganda.,finite
Visual Question,SET_CLASSIFIER,Set Types,Quest 1-003: Abstract Sets (Part 4),Set of Letters in 'MATHEMATICS'.,finite
Visual Question,SET_CLASSIFIER,Nature Sets,Quest 1-004: Nature Walk (Part 2),Set of Fish in Lake Victoria.,finite
Visual Question,SET_CLASSIFIER,Nature Sets,Quest 1-004: Nature Walk (Part 3),Set of Grains of Sand on a beach.,finite
Visual Question,SET_CLASSIFIER,Nature Sets,Quest 1-004: Nature Walk (Part 4),Set of Stars in the Universe.,infinite
Visual Question,SET_CLASSIFIER,Math Concepts,Quest 1-005: Number Sets (Part 2),Set of Vowels in the alphabet.,finite
Visual Question,SET_CLASSIFIER,Math Concepts,Quest 1-005: Number Sets (Part 3),Set of Multiples of 5.,infinite
Visual Question,SET_CLASSIFIER,Social Sets,Quest 1-006: My Class (Part 2),Set of Districts in Uganda.,finite
Visual Question,SET_CLASSIFIER,Social Sets,Quest 1-006: My Class (Part 3),Set of Whole Numbers.,infinite
Visual Question,SET_CLASSIFIER,Infinite Sets,Quest 1-007: Infinite Visuals (Part 2),"Scene: Matrix RainSet of All Even Numbers {2, 4, 6...}.",infinite
Visual Question,SET_CLASSIFIER,Infinite Sets,Quest 1-007: Infinite Visuals (Part 3),"Scene: Matrix RainSet of Integers {..., -1, 0, 1, ...}.",infinite
Visual Question,SET_CLASSIFIER,Nature Sets,Quest 1-008: Nature Visuals (Part 2),Scene: Swimming FishSet of Fish in a tank.,finite
Visual Question,SET_CLASSIFIER,Nature Sets,Quest 1-008: Nature Visuals (Part 3),Scene: Grazing CowsSet of Cattle on a farm.,finite
Visual Question,SET_CLASSIFIER,Nature Sets,Quest 1-008: Nature Visuals (Part 4),Scene: Sand GrainsSet of Sand Grains on a beach (Too many to count!).,infinite
Visual Question,SET_CLASSIFIER,Nature Sets,Quest 1-008: Nature Visuals (Part 5),Scene: Map PinsSet of Districts in Uganda.,finite
Visual Question,SET_CLASSIFIER,Social Sets,Quest 1-009: Class Visuals (Part 2),"Scene: Bouncing LettersSet of Vowels {A, E, I, O, U}.",finite
Read,MATH_STUDY,Types of Sets,Finite vs Infinite,What is a Set?: A Set is just a collection of distinct objects. Imagine a basket. Anything we put inside that basket is a 'member' of the set.,
Read,MATH_STUDY,Types of Sets,Finite vs Infinite,"1. Finite Sets: A Finite Set has a specific number of members. You can count them, and the counting comes to an end.Example: Vowels = {a, e, i, o, u}",
Read,MATH_STUDY,Types of Sets,Finite vs Infinite,"Cardinal Number: Because a Finite set ends, we can find its Cardinal Number, n(A).This is just the total count of members.",
Read,MATH_STUDY,Types of Sets,Finite vs Infinite,"2. Infinite Sets: An Infinite Set has no end. It goes on forever!Imagine counting numbers: 1, 2, 3, 4... You could never finish.",
Read,MATH_STUDY,Types of Sets,Finite vs Infinite,"The Ellipsis (...): Since we can't write all the numbers, we use three dots called an Ellipsis.{ 1, 2, 3, ... }This symbol means 'and so on forever'.",
Read,MATH_STUDY,Types of Sets,Finite vs Infinite,Summary: Finite: Ends. Can be counted.Infinite: Never ends. Uses '...',
Visual Question,SET_THEORY,Set Notation & Regions,Quest 2: Reading Regions,List the elements of Y ∩ Z,
Visual Question,SET_THEORY,Set Notation & Regions,Quest 2: Reading Regions,Find n(Y ∩ Z),
Visual Question,SET_THEORY,Set Notation & Regions,Quest 2: Reading Regions,Find n(Y only),
Visual Question,SET_THEORY,Set Notation & Regions,Quest 2: Reading Regions,Find n(Z - Y),
Visual Question,SET_THEORY,Set Intersections,Quest 2-003: Overlap Sets,Show that Some Singers (S) are Dancers (D).Create an Intersection.,
Visual Question,SET_THEORY,Set Relationships,Quest 2-003: Visual Relations,Show that All Mangoes (M) are Fruits (F).,
Visual Question,SET_THEORY,Set Relationships,Quest 2-003: Visual Relations,Show that No Cars (C) are Plants (P).,
Visual Question,SET_THEORY,Set Relationships,Quest 2-003: Visual Relations,Show that Some Singers (S) are Dancers (D).,
Visual Question,SUBSET_GAME,Finding All Subsets,Quest 2-004: The Lunchbox,Level 1: Find all 2 subsets of {Apple}. (2¹),
Visual Question,SUBSET_GAME,Finding All Subsets,Quest 2-004: The Lunchbox,"Level 2: Find all 4 subsets of {Apple, Banana}. (2²)",
Visual Question,SUBSET_GAME,Finding All Subsets,Quest 2-004: The Lunchbox,"Level 3: Find all 8 subsets of {Apple, Banana, Orange}. (2³)",
Visual Question,SUBSET_GAME,Finding Subsets,Quest 3-002: The Toy Van,Level 1: Load the Van! Find all 2 subsets of {Car}.,
Visual Question,SUBSET_GAME,Finding Subsets,Quest 3-002: The Toy Van,"Level 2: Find all 4 subsets of {Ball, Bear}.",
Visual Question,SUBSET_GAME,Finding Subsets,Quest 3-002: The Toy Van,Level 3: Master Mover! Find all 8 subsets.,
Visual Question,SUBSET_GAME,Finding Subsets,Quest 3-003: Flag Painter,Find all 8 subsets by painting the stripes.,
Visual Question,SUBSET_GAME,Finding Subsets,Quest 3-004: The Card Machine,Grandmaster Level: Find all 16 subsets of the Card Suits.,
Visual Question,SET_THEORY,Disjoint Sets,Quest 2-005: Disjoint Logic,Sort numbers < 7 into Evens and Odds.,
Visual Question,SET_THEORY,Disjoint Sets,Quest 2-005: Disjoint Logic,Find n(Evens ∩ Odds).,
Visual Question,SET_THEORY,Equal vs Equivalent,Quest 2-004: Equal or Equivalent?,"Sort: X={a,b,c}, Y={1,2,3}. Are they overlapping?",
Visual Question,SET_THEORY,Equal vs Equivalent,Quest 2-004: Equal or Equivalent?,Are sets X and Y Equal?,no
Visual Question,SET_THEORY,Equal vs Equivalent,Quest 2-004: Equal or Equivalent?,Are sets X and Y Equivalent?,yes
Visual Question,SET_THEORY,Union of Sets,Quest 2-007: Union Quiz,List the members of P ∪ Q (Union).,"{1, 2, 3, 4, 5}"
Visual Question,SET_THEORY,Difference of Sets,Quest 2-008: Set Difference,List the members of M - N (M only).,"{a, b}"
Visual Question,SET_THEORY,Complement,Quest 2-009: Complement Quiz,List the members of B' (Complement of B).,"{x, w}"
Visual Question,SET_THEORY,Empty Set,Quest 2-010: Disjoint Quiz,What is E ∩ O?,∅ (Empty Set)
Visual Question,SET_THEORY,Set Relationships,Quest 2-012: Subset Reverse,What is the relationship shown?,B is a subset of A
Visual Question,SET_THEORY,Disjoint Sets,Quest 2-013: Disjoint,Describe the relationship.,Disjoint Sets
Visual Question,SET_THEORY,Intersection,Quest 2-014: Intersection,What relationship is shown?,Intersecting Sets
Visual Question,SET_THEORY,Equal Sets,Quest 2-015: Equality,"If Set A and Set B look like this, they are...",Equal Sets
Visual Question,SET_THEORY,Disjoint Sets,Quest 2-016: Living vs Non-Living,Sort the objects. Do they overlap?,
Visual Question,SET_THEORY,Disjoint Sets,Quest 2-016: Living vs Non-Living,Is the Intersection (Middle) an Empty Set?,yes
Visual Question,SET_THEORY,Set Notation,Quest 2-017: Notation Quiz,Which symbol represents the shaded region?,A'
Visual Question,SET_THEORY,Subset Notation,Quest 2-018: Symbols,Which statement matches the diagram?,P ⊂ Q
