qid,term,topic,subtopic,difficulty,questiontype,parentid,orderinparent,questiontext,optiona,optionb,optionc,optiond,correctanswer,hint,detailedsolution,imagelocation,tags,engine_type,mode,json_reference,model_url,has_hotspots,wordbank,question_score,full_json_content,filename,folder
01-001_2_Q1,T1,Finite vs. Infinite Sets,Quest 1-001: Set Types (Part 2),E,Simulation,,1,"Set of Whole Numbers {0, 1, 2, ...}",,,,,infinite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-001_2.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Finite vs. Infinite Sets"",   ""variantTitle"": ""Quest 1-001: Set Types (Part 2)"",   ""questions"": [     {       ""scene"": ""stars"",       ""expected"": ""infinite"",       ""prompt"": ""Set of <span style='color:#9333ea'>Whole Numbers</span> {0, 1, 2, ...}""     }   ] } ",01-001_2.json,quest_01_finite_infinite_sets
01-001_3_Q1,T1,Finite vs. Infinite Sets,Quest 1-001: Set Types (Part 3),E,Simulation,,1,Set of Cows in this Kraal.,,,,,finite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-001_3.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Finite vs. Infinite Sets"",   ""variantTitle"": ""Quest 1-001: Set Types (Part 3)"",   ""questions"": [     {       ""scene"": ""cows"",       ""expected"": ""finite"",       ""prompt"": ""Set of <span style='color:#16a34a'>Cows in this Kraal</span>.""     }   ] } ",01-001_3.json,quest_01_finite_infinite_sets
01-001_4_Q1,T1,Finite vs. Infinite Sets,Quest 1-001: Set Types (Part 4),E,Simulation,,1,"Set of Multiples of 7 {7, 14, 21, ...}",,,,,infinite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-001_4.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Finite vs. Infinite Sets"",   ""variantTitle"": ""Quest 1-001: Set Types (Part 4)"",   ""questions"": [     {       ""scene"": ""rain"",       ""expected"": ""infinite"",       ""prompt"": ""Set of <span style='color:#16a34a'>Multiples of 7</span> {7, 14, 21, ...}""     }   ] } ",01-001_4.json,quest_01_finite_infinite_sets
01-002_2_Q1,T1,Set Types,Quest 1-003: Abstract Sets (Part 2),E,Simulation,,1,Set of Points on a Line.,,,,,infinite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-002_2.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Set Types"",   ""variantTitle"": ""Quest 1-003: Abstract Sets (Part 2)"",   ""questions"": [     { ""scene"": ""stars"", ""expected"": ""infinite"", ""prompt"": ""Set of <b>Points on a Line</b>."" }   ] } ",01-002_2.json,quest_01_finite_infinite_sets
01-002_3_Q1,T1,Set Types,Quest 1-003: Abstract Sets (Part 3),E,Simulation,,1,Set of Primary Schools in Uganda.,,,,,finite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-002_3.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Set Types"",   ""variantTitle"": ""Quest 1-003: Abstract Sets (Part 3)"",   ""questions"": [     { ""scene"": ""cows"", ""expected"": ""finite"", ""prompt"": ""Set of <b>Primary Schools in Uganda</b>."" }   ] } ",01-002_3.json,quest_01_finite_infinite_sets
01-002_4_Q1,T1,Set Types,Quest 1-003: Abstract Sets (Part 4),E,Simulation,,1,Set of Letters in 'MATHEMATICS'.,,,,,finite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-002_4.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Set Types"",   ""variantTitle"": ""Quest 1-003: Abstract Sets (Part 4)"",   ""questions"": [     { ""scene"": ""default"", ""expected"": ""finite"", ""prompt"": ""Set of <b>Letters in 'MATHEMATICS'</b>."" }   ] } ",01-002_4.json,quest_01_finite_infinite_sets
01-003_2_Q1,T1,Nature Sets,Quest 1-004: Nature Walk (Part 2),E,Simulation,,1,Set of Fish in Lake Victoria.,,,,,finite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-003_2.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Nature Sets"",   ""variantTitle"": ""Quest 1-004: Nature Walk (Part 2)"",   ""questions"": [     { ""scene"": ""fish"", ""expected"": ""finite"", ""prompt"": ""Set of <b>Fish in Lake Victoria</b>."" }   ] } ",01-003_2.json,quest_01_finite_infinite_sets
01-003_3_Q1,T1,Nature Sets,Quest 1-004: Nature Walk (Part 3),E,Simulation,,1,Set of Grains of Sand on a beach.,,,,,finite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-003_3.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Nature Sets"",   ""variantTitle"": ""Quest 1-004: Nature Walk (Part 3)"",   ""questions"": [     { ""scene"": ""sand"", ""expected"": ""finite"", ""prompt"": ""Set of <b>Grains of Sand</b> on a beach."" }   ] } ",01-003_3.json,quest_01_finite_infinite_sets
01-003_4_Q1,T1,Nature Sets,Quest 1-004: Nature Walk (Part 4),E,Simulation,,1,Set of Stars in the Universe.,,,,,infinite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-003_4.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Nature Sets"",   ""variantTitle"": ""Quest 1-004: Nature Walk (Part 4)"",   ""questions"": [     { ""scene"": ""stars"", ""expected"": ""infinite"", ""prompt"": ""Set of <b>Stars in the Universe</b>."" }   ] } ",01-003_4.json,quest_01_finite_infinite_sets
01-004_2_Q1,T1,Math Concepts,Quest 1-005: Number Sets (Part 2),E,Simulation,,1,Set of Vowels in the alphabet.,,,,,finite,,,,[],SET_CLASSIFIER,quiz,content/math/set_theory/quest_01_finite_infinite_sets/01-004_2.json,,No,,5,"{   ""engineType"": ""SET_CLASSIFIER"",   ""mode"": ""quiz"",   ""subject"": ""MATH"",   ""topic"": ""Math Concepts"",   ""variantTitle"": ""Quest 1-005: Number Sets (Part 2)"",   ""questions"": [     {       ""scene"": ""vowels"",       ""expected"": ""finite"",       ""prompt"": ""Set of <b>Vowels</b> in the alphabet.""     }   ] } ",01-004_2.json,quest_01_finite_infinite_sets
